company,introduction,end_market,industry,link,link_corrected
PayAsia,Payroll technology,HR tech,Finance and insurance,,https://www.pymnts.com/news/b2b-payments/2018/paygroup-payroll-asx-ipo/
QAOSH Services,Safety and compliance management software to the aviation industry,Aviation,IT - Software,https://www.qaosh-sms.com/about,https://www.qaosh-sms.com/about
Queensland Childcare Services,Early childhood education provider,Early childhood,Education,https://www.qccs.com.au/about-us/,https://www.qccs.com.au/about-us/
QHDC Australia,Shopping trolley manufacturer and supplier,Retail,"Mining, oil and gas",https://www.qhdc.com.au/,https://www.qhdc.com.au/
Queensland Pre-Stressing,Ground engineering services,"Government, contractors, private clients, developers","Services - professional, scientific, and technical",www.qpsengineering.com.au,https://www.qpsengineering.com.au/
QSR,Qualitative data analysis software,Big data,IT - Hardware,www.qsrinternational.com,https://www.qsrinternational.com/
Quantate,"Software and advisory services for GRC, project risk and health and safety",Corporate risk,IT - Software,https://www.quantate.com/#About,https://www.quantate.com/
Quest Hotel - Ballarat,Hotel / accomodation,Hotel,Services - accommodation and food,,https://www.questapartments.com.au/properties/vic/ballarat/quest-ballarat/overview
Radaro,Last mile delivery software,Logistics,IT - Software,https://www.radaro.com.au/,https://www.radaro.com.au/
Raffles College,"TEQSA + RTO (Fasion, design, visual arts)","Fasion, design, visual arts",Education,http://www.raffles.edu.au/,https://www.raffles.edu.au/
RagTagd,Smart tag solutions,Education,IT - Hardware,https://www.ragtagd.com/,https://www.ragtagd.com/
Rainstorm Dust Control,Specialist service provider,Mining,"Mining, oil and gas",http://www.rainstorm.com.au/,https://www.rainstorm.com.au/
Ranvet,Veterinary and animal health products,Veterinary / agriculture,Manufacturing,http://ranvet.com.au/,https://www.ranvet.com.au/
Rapid Global,Workforce management software provider,Project compliance,IT - Software,https://www.rapidglobal.com/our-team/,https://www.rapidglobal.com/our-team/
Rate My Agent,Real estate agent rating website,Online real estate,Real estate,https://www.ratemyagent.com.au/,https://www.ratemyagent.com/
The Hader Clinic,Rehabilitation facility,Rehabilitation,Healthcare,https://www.rayhaderclinic.com.au/our-history/,https://www.rayhaderclinic.com.au/about
RB Sellars Ltd,Luxury consumer products,Retail,Manufacturing,,https://www.rbsellars.com.au/contact-us
ReadCloud,eBooks and LMS software,Education,IT - Software,www.readcloud.com,https://www.readcloud.com/
ReadiNow,BM to update - posted as part of various,,IT - Software,,https://www.readinow.com/
Ready Steady Go Kids,Extracurricular sports and activities provider,Childcare services,Education,https://www.readysteadygokids.com.au/,https://www.readysteadygokids.com.au/
Record Point,Labour hire for mining services,Mining,"Services - professional, scientific, and technical",,https://www.recordpoint.com/partners/
REDARC Electronics,Vehicular power solutions manufacturing and service,Electronics,Manufacturing,www.redarc.com.au,https://www.redarc.com.au/
Redguava,Medical and administrative software solutions,Medical practices,IT - Software,www.redguava.com.au,https://www.redguava.com.au/
Redman Solutions,Local government solutions,Business performance,"Services - professional, scientific, and technical",https://www.redmansolutions.com.au/about,https://www.redmansolutions.com.au/about
NT Beverages Group Pty Ltd,Bottled water manufacturing,Water,Manufacturing,https://www.ntbeverages.com.au/,https://www.refreshdarwin.com.au/
Refocus,Addiction treatment services,Addiction treatment,Healthcare,https://www.rehabmelbourne.com.au/melbourne/,https://www.rehabmelbourne.com.au/melbourne/
REI Master,Property management and trust accounting solutions provider,Property management,IT - Software,https://www.reimaster.com.au/about.html,https://www.reimaster.com.au/about.html
RelianSys,GRC software to different industries,Risk and compliance,IT - Software,https://www.reliansys.com.au/about-us/,https://www.reliansys.com.au/about-us/
Remote Helicopters Australia,Helicopter services provider,Pest control,"Services - professional, scientific, and technical",https://www.remotehelicopters.com.au/about/,https://www.remotehelicopters.com.au/about/
REM Systems,"REM SYSTEMS is a specialised medical equipment distribution company supplying hospitals, health clinics, medical practices and veterinary clinics.",Hospitals and specialists,Healthcare,http://www.remsystems.co.nz/,https://www.remsystems.co.nz/
Remtron Automation,"Automation, process control and IT related products and solutions",Automation,Wholesale trade,http://www.remtron.com.au/,https://www.remtron.com.au/
Remunerator,Novated Lease & Salary Packaging,Salary packaging,Finance and insurance,http://www.remunerator.com.au/,https://www.remunerator.com.au/
Renaissance,Reading and maths student learning outcomes software,Education,IT - Software,https://www.renaissance.com.au,https://www.renaissance.com.au/
Repurpose It,Waste management,Waste,Services - other,https://www.repurposeit.com.au/,https://www.repurposeit.com.au/
Resonate Solutions,Customer experience management software,Corporate,IT - Software,www.resonatesolutions.com.au,https://www.resonatesolutions.com.au/
Tourism Holdings,channel management solution,Hospitality,IT - Software,www.resonline.com/,https://www.resonline.com/
Respirico Healthcare,"Sleep, respiratory and mobility products and equipment distribution",Respiratory,Healthcare,https://www.respirico.com.au/about-respirico/,https://www.respirico.com.au/about-respirico/
Retail Directions,Retail Data analytics,Retail businesses,IT - Software,http://www.retaildirections.com/,https://www.retaildirections.com/
Retreat South,Rehabilitation facility,Rehabilitation,"Services - professional, scientific, and technical",http://retreatsouth.com.au/about/,https://www.retreatsouth.com.au/about/
Reveale Surgical,Search and distribution of medical and sport medicine consumables.,Sports medicine and specialist medical,Healthcare,http://www.revealesurgical.com.au,https://www.revealesurgical.com.au/
RPM Technologies,Marketing software,Marketing,IT - Software,http://www.rpmgi.com/,https://www.revenuetek.com/
W&L Aged Care Services,"Allied health services (physiotherapy, podiatry, OT, speech, dietetics). Online learning",Aged & home care,Healthcare,https://wellnesslifestyles.com.au/,https://www.revita.com.au/
revolutioniseSPORT,Cloud-based platform for sporting and community organisations,Sports and community,IT - Software,https://www.revolutionise.com.au/what-we-do/,https://www.revolutionise.com.au/what-we-do/
Rev Australia,Payment products and services,Payments,Finance and insurance,https://revworldwide.com/,https://www.revworldwide.com/
Rezare Systems,specialist developer of agricultural software products,Agriculture,IT - Software,http://www.rezare.co.nz,https://www.rezare.co.nz/
RFI Analytics,Big data analytics software & syndicated research,"Big data, research",IT - Software,,https://www.rfigroup.com/home
Rice Warner,Superannuation fund analytics and consulting services,Superannuation,"Services - professional, scientific, and technical",www.ricewarner.com,https://www.ricewarner.com/
Richgro,"manufacturer and distributor of potting mixes, fertilisers and gardening products",Agriculture,Manufacturing,http://www.richgro.com.au,https://www.richgro.com.au/
R.I.C Publications,Sells hard copy publications for teachers,Education,Education,https://www.ricgroup.com.au/about-us/,https://www.ricpublications.com.au/
RightWay,Accounting services provider,Professional services,"Services - professional, scientific, and technical",,https://www.rightway.co.nz/
Rimfire Resources,Specialist recruitment,Agriculture focused HR,"Services - professional, scientific, and technical",www.rimfireresources.com.au,https://www.rimfireresources.com.au/
Rise Above,Drone distributor and applications developer,Drones,Wholesale trade,https://www.riseabove.com.au/,https://www.riseabove.com.au/
Risk Logic,Specialist risk and compliance management services industry,Compliance,"Services - professional, scientific, and technical",http://www.risklogic.com.au/,https://www.risklogic.com.au/
Risk Wizard,Provider of risk management software systems across a range of industries,Corporate risk,IT - Software,https://www.riskwizard.com/about,https://www.riskwizard.com/
Russell Mineral Equipment,Mill relining systems design and manufacture,Mining,Manufacturing,https://www.rmeglobal.com,https://www.rmeglobal.com/
RMS,Accommodation property management software,Hospitality,IT - Software,https://www.rmscloud.com/,https://www.rmscloud.com/
RMSS,Risk intelligence software,Risk,IT - Software,http://www.rmss.com.au/about-rmss/,https://www.rmss.com.au/about-rmss/
Road Runner Mobile Tyres,Retail store and mobile tyre sales,Automotive,Retail trade,www.roadrunnermobiletyres.com.au,https://www.roadrunnermobiletyres.com.au/
Rockend,Strata management software to buildings,Strata management,IT - Software,https://www.rockend.com/product/file-smart/overview,https://www.rockend.com/product/file-smart/overview
Roll'd,Vietnamese QSR,QSR,Retail trade,http://rolld.com.au,https://www.rolld.com.au/
Ronstan,"Manufacturer of sailboat hardware, tensile architecture and industrial hardware products",Nautical,Manufacturing,https://www.ronstan.com.au/,https://www.ronstan.com.au/
Rowe Scientific,Distributor of laboratory equipment and consumables,Laboratory,Wholesale trade,https://www.rowe.com.au,https://www.rowe.com.au/
RSEA,"Sale and hire of safety workwear, PPE and safety equipment.",Manual workforces,Wholesale trade,https://www.rsea.com.au/,https://www.rsea.com.au/
Ruppells Griffon,Spatial software,Corporate,IT - Software,https://www.ruppells.com/,https://www.ruppells.com/
Adventure Conventions,Team building events and development programmes,"Corporate, government, defence and sports",Education,http://www.teambuildingsabre.com.au/,https://www.sabrehq.com/
Safe365,Health and safety management software,Health and Safety management,IT - Software,https://www.safe365.co.nz/company-information/,https://www.safe365.co.nz/company-information/
Safeman,Industrial safety products manufacturer / distributor rollup (companies tbc),tbc,Wholesale trade,tbc,https://www.safeman.com.au/
SaferMe,Workplace safety software,WH&S,IT - Software,https://www.safer.me/,https://www.safer.me/
Safescape,Safety equipment manufacturer,Mining,Manufacturing,http://www.safescape.com/,https://www.safescape.com/
Safetrac,Compliance services,tbc,Services - administrative and support,tbc,https://www.safetrac.co.nz/
Safety Champion,Safety software,Safety,IT - Software,http://www.safetychampion.com.au/,https://www.safetychampion.com.au/
SafetyCulture,Field inspections and audits,"Construction, retail, hospitality, logistics",IT - Software,www.safetyculture.io,https://www.safetyculture.io/
Safety Navigator,OH&S management software to different industries,OH&S,IT - Software,https://www.safetynavigator.com.au/About.aspx,https://www.safetynavigator.com.au/About.aspx
The Sanctuary Byron Bay,Rehabilitation facility,Rehabilitation,Healthcare,www.sanctuarybb.com,https://www.sanctuarybb.com/
Sapphire Bioscience,Research products import and distribution to life science space,Medical waste management,Wholesale trade,http://www.sapphirebioscience.com/page.jsp?id=1,https://www.sapphirebioscience.com/page.jsp
MG Trading,Agricultural retail store network in VIC/TAS,Retail,Agriculture,http://www.mgc.com.au/our-products/mg-trading/,https://www.saputodairyaustralia.com.au/en
Savco Vegetation Services,Vegetation management for aboriculture and specialist tree work services,Weed control,"Services - professional, scientific, and technical",https://www.savco.com.au/,https://www.savco.com.au/
Savv-E,Digital learning agency,"Education, finance, infrastructure, healthcare, others",IT - Software,www.savv-e.com.au/,https://www.savv-e.com.au/
Savvy,"Car, leisure, commercial, home finance and insurance, credit cards",SME and Personal,Finance and insurance,https://www.savvy.com.au/about-us,https://www.savvy.com.au/about-us
Savvi,SaaS big data analytics,Telco,IT - Software,www.savvi.io,https://www.savvy.io/
SBC IT,Workforce safety and management software,Workforce safety and management,IT - Software,http://www.sbcit.com.au/,https://www.sbcit.com.au/
Schibello Caffe,"Coffee machines, servicing, roasting, events",QSR,Wholesale trade,www.schibellocaffe.com,https://www.schibellocaffe.com/
School Lunch Online,Provider of lunch ordering services to schools,,Services - accommodation and food,https://schoollunchonline.com.au/,https://www.schoollunchonline.com.au/
School Payments,School payments,Payments,Education,http://www.schoolpayments.com.au,https://www.schoolpay.com/
Schrole Cover,Relief and casual staff communication and vacancy software,Education,IT - Software,http://www.schrolecover.com/,https://www.schrolecover.com/
Scientex,Analytical instruments and measurement technologies distribution,Distribution,Wholesale trade,http://scientex.com.au/about-us/,https://www.scientex.com.au/about-us/
Scientific Partners Australia,Distributor of laboratory equipment and consumables,Laboratory,Wholesale trade,http://www.scientificpartners.com.au,https://www.scientificpartners.com.au/
ScopeIT,Education services platform; IT classes for schools via franchise model,Education,Education,http://www.scopeiteducation.com.au/,https://www.scopeiteducation.edu.au/
Scopesuite,Improves VET training program by tracking performance and engagement for employer,Education providers,Education,https://www.scopesuite.com.au/,https://www.scopesuite.com.au/
SCRIM Safety First (SCRIM),OH&S management software to different industries,OH&S,IT - Software,https://www.scrim.com.au/about-us,https://www.scrim.com.au/about-us
SCRIM Safety First (SCRIM),OH&S management software to different industries,OH&S,IT - Software,https://www.scrim.com.au/about-us,https://www.scrim.com.au/about-us
Sydney Seaplanes,Tourist / Charter flights in Sydney,Tourism,"Arts, entertainment and recreation",https://www.seaplanes.com.au/,https://www.seaplanes.com.au/
J.C & A.T. Searle Pty Ltd,"manufacturer and distributor of potting mixes, fertilisers and gardening products",Agriculture,Manufacturing,https://www.searlesgardening.com.au,https://www.searlesgardening.com.au/
Seasol,producer of soil treatment and garden/crop management products,Agriculture,Manufacturing,https://www.seasol.com.au,https://www.seasol.com.au/
Security Services Business,Security and facilities maintenance services,Security,Services - other,,https://www.secom.co.jp/english/corporate/vision/system/other.html
SecureCo,"Specialised payment, security and cloud service",SME,IT - Software,https://www.secureco.co/,https://www.secureco.co/
Property consulting business,Property consulting firm specialising in valuations,Consulting,Real estate,,https://www.seek.co.nz/property-consultant-jobs
Academy Photography,School photography services and attendance software,Photography,Education,,https://www.seek.com.au/companies/academy-photography-436938
SeerPharma,Inspection work and software services to medical space,Life Science,"Services - professional, scientific, and technical",https://www.seerpharma.com/about-us,https://www.seerpharma.com/about-us
Leveaux,Hardware and cloud software for building asset management,Energy efficiency,IT - Software,https://www.senseagent.com/about/,https://www.senseagent.com/about/
Sense of Security,Information security and risk management services provider,Cyber and corporate risk,"Services - professional, scientific, and technical",https://www.senseofsecurity.com.au/about-us,https://www.senseofsecurity.com.au/about-us/
Sensory Oasis,An online and retail store for sensory products for special kids with special needs,Distribution,Healthcare,https://www.sensoryoasisforkids.com.au/,https://www.sensoryoasisforkids.com.au/
Sentry Medical,Sentry Medical is proud of its reputation as a trusted manufacturer and distributor of quality sterile and non-sterile medical consumables to the private and public healthcare sectors.,Public and private healchare,Healthcare,www.sentrymedical.com.au,https://www.sentrymedical.com.au/
Sesion Tequila,Tequila manufacturing and marketing,Spirits,Manufacturing,http://www.sesiontequila.com/,https://www.sesiontequila.com/
Setmetrics,Energy efficiency solutions for buildings,Energy efficiency,IT - Software,http://www.setmetrics.com/,https://www.setmetrics.com/
SGE Helicopters,Aerial agricultural services,Pest control,"Services - professional, scientific, and technical",https://www.sgehelicopters.com.au/about-us/,https://www.sgehelicopters.com.au/about-us/
Shearwater Solutions,Cyber security services provider,Cyber risk,"Services - professional, scientific, and technical",https://www.shearwater.com.au/cyber-security-company-australia/,https://www.shearwater.com.au/cyber-security-company-australia/
Project Shell,Mexican food retail,Food,Retail trade,,https://www.shell.com.au/media/2018-media-releases/shell-announces-sale-completion-of-its-new-zealand-entities.html
Sherpa,HR rostering platform,tbc,IT - Hardware,tbc,https://www.sherpa.net.au/
Shopper Media,Retail Digital Out-Of-Home (DOOH) intelligent media business,Digital billboards,IT - Hardware,www.shoppermedia.com.au,https://www.shoppermedia.com.au/
Shortcuts,Software solutions to help businesses manage their operations and clients,Beauty industry,IT - Software,www.shortcuts.com.au,https://www.shortcuts.com.au/
Signature Software,Business management software,"Print, IT, telco",IT - Software,http://www.signaturesoftware.com.au/,https://www.signaturesoftware.com.au/
Signia Media,Customer engagement tools / digital media analytics,Digital media,IT - Software,,https://www.signia-hearing.co.nz/corporate-information/
SignIQ,In-store ticketing and retail communications to better engage with shoppers,Retail,IT - Software,https://www.signiq.com/about-us,https://www.signiq.com/about-us
SILQ,Legal practice management software to legal industry,Legal,IT - Software,https://www.silq.com.au/why-silq/,https://www.silq.com.au/why-silq/
Silvan,manufacturer and distributor of pumps and spraying equipment,Agriculture,Manufacturing,https://www.silvan.com.au,https://www.silvan.com.au/
Silvereye,Educational and therapy resources distribution for people with learning difficulties and special needs,Distribution,Healthcare,https://www.silvereye.com.au/about.php,https://www.silvereye.com.au/about.php
Project Strand,Infrastructure contractor,Infrastructure,Construction,,https://www.silverstrand.com.au/
SilverStripe,Digital content management system and web development framework for government and utilities,CMS,IT - Software,https://www.silverstripe.com/,https://www.silverstripe.com/
Simplicity Australia,manufacturer of air seeders and cultivators,Agriculture,Manufacturing,https://www.simplicityaus.com.au,https://www.simplicityaus.com.au/
simPRO Software,Contractor management software,HR tech,IT - Hardware,,https://www.simprogroup.com/about-us
Scrap metal processing business,Scrap metal processing,Scrap metal,Manufacturing,,https://www.simsmm.com.au/
Sinclair X-Ray Inspection Services,"Testing of consumer products, tools, machinery, safety devices and components",Inspection and testing,"Services - professional, scientific, and technical",http://www.sinxray.com.au/index.html,https://www.sinxray.com.au/
The Sydney Institute of Traditional Chinese Medicine,TEQSA + RTO (Traditional Chinese Medicine),Traditional Chinese Medicine,Education,http://www.sitcm.edu.au/,https://www.sitcm.edu.au/
Skillbuilders,Childhood development services,Education,"Services - professional, scientific, and technical",http://www.skillbuilders.com.au/our-team/about,https://www.skillbuilders.com.au/
Skillinvest,"RTO (Agriculture, automotive, building & construction, business, community services, engineering)","Agriculture, automotive, building & construction, business, community services, engineering",Education,http://www.skillinvest.com.au/,https://www.skillinvest.com.au/
Skin Institute,dermatology and cosmetic medicine,dermatology,Healthcare,https://www.skininstitute.co.nz/,https://www.skininstitute.co.nz/
Skwirk,Online student learning platform,Education,IT - Software,http://www.skwirk.com.au/,https://www.skwirk.com.au/
Skywire,Workforce mobility solutions,"Transport, retail, field sales, FMCG",IT - Software,http://www.skywire.com.au/,https://www.skywire.com.au/
Smart Asset Software,Asset management software,Asset management,IT - Software,https://www.smartasset.com.au/smartasset/,https://www.smartasset.com.au/smart-asset-software/
Smart Class Systems,Learning management system software to the flight schools,Aviation,IT - Software,http://www.smartclasssystems.com/flight-school-manager,https://www.smartclasssystems.com/flight-school-manager
VCS,Mining services provider,Mining services,"Mining, oil and gas",,https://www.smartcompany.com.au/startupsmart/advice/startupsmart-funding/how-a-new-zealand-startup-scored-a-10-million-investment-by-contacting-one-of-the-worlds-biggest-vc-firms-through-the-side-door/
Smartech,"Letter printing machinery, consumables and technology provider to corporates",Print,Wholesale trade,http://www.smartech.com,https://www.smartech.com/
Smart Environmental,NZ waste management services business,Waste management,Services - other,http://www.smartenvironmental.co.nz/Commercial.html,https://www.smartenvironmental.co.nz/wp-content/uploads/2018/08/15-Layne-Sefton-_-LinkedIn.html
Industrial Automation Group,Parks management software for local government organisations,Parks,IT - Software,http://smartparkcontrol.com/,https://www.smarterctrl.com/
Industrial Automation Group,Parks management software for local government organisations,Parks,IT - Software,http://smartparkcontrol.com/,https://www.smarterctrl.com/
Smart Power Utilities,Total energy management solutions,Energy efficiency,"Services - professional, scientific, and technical",https://www.smartpowerenergy.com.au/,https://www.smartpowerenergy.com.au/
Smartsoft,Healthcare practice management software,Healthcare,IT - Software,https://www.smartsoft.com.au/,https://www.smartsoft.com.au/
Smart Steel,Steel products manufacturer,Steel,Manufacturing,,https://www.smartsteel.nz/
SMG Health,Corporate and mental health services industry,corporate and mental health services industry,Healthcare,https://www.smghealth.com.au/contact,https://www.smghealth.com.au/contact
Softlink International,Library search and management system,Education,IT - Software,https://www.softlinkint.com/,https://www.softlinkint.com/
Soilco,"producer of soil, compost and water management products",Agriculture,Agriculture,https://www.soilco.com.au,https://www.soilco.com.au/
Sonar Technologies Australia,Enterprise management software industry,"Government, corporate, healthcare, education",IT - Software,http://www.transdata.com.au/,https://www.sonartechnologies.com/
Sonoray,"Specialising in distribution of high quality medical devices for Neurology, Psychiatry and University Research.",Specialists healthcare,Healthcare,www.sonoray.com/about-us,https://www.sonoray.com/about-us
SoupedUp Solutions,Aged care catering software,Aged care,Healthcare,https://www.soupedup.com/about-us/,https://www.soupedup.com/about-us/
Southbank Day Surgery,"Day surgery hospital in paeds, dental and oral surgery","Dental, oral, dermatology, and other day surgery",Healthcare,www.southbankdaysurgery.com.au,https://www.southbankdaysurgery.com.au/
Southern Biological / Cogitamus,a supplier of resources to science educators in Australia,Education,Wholesale trade,https://www.southernbiological.com/about-us/,https://www.southernbiological.com/about-us/
Sparrow Early Learning,17 early education centres,Early education centres,Education,www.sparrowearlylearning.com.au,https://www.sparrowearlylearning.com.au/
Special Needs Solutions,Supplier of paediatric equipment for kids with disablities,Distribution,Healthcare,https://www.specialneedssolutions.com.au/,https://www.specialneedssolutions.com.au/
Specialty Feeds,Manufacturer of feeds for farm and domestic animals,Distribution,Manufacturing,http://www.specialtyfeeds.com/about/,https://www.specialtyfeeds.com/about/
Spirac,Manufactures and installs wastewater solutions for municipal and industrial clients worldwide,Distribution,Manufacturing,http://www.spirac.com/,https://www.spirac.com/
Splash Paediatric Therapy,"Occupational and speech therapy services for children at home, in the clinic or school based",Developmental healthcare,Healthcare,http://splashtherapy.com.au/,https://www.splashtherapy.com.au/
SPM Assets,Asset management solutions to different industries,Asset management,IT - Software,https://www.spmassets.com/nz/about,https://www.spmassets.com/us/about
Sportainment Leisure Management Group,Stadium management software for managers and staffs,Sports,IT - Software,http://www.sportainmentleisure.com/,https://www.sportainmentleisure.com/
Sportitude,Online shoe retail,Luxury goods,Retail trade,,https://www.sportitude.com.au/
Sportstek Physical Therapy Supplies,Medical supplies distribution,Medical devices,Healthcare,http://www.sportstek.net/index.htm,https://www.sportstek.com.au/
Squirrel,SMSF platform,Financial services / insurance,Finance and insurance,,https://www.squirrel.co.nz/about-squirrel/work-for-squirrel
Squirrel Super,Self managed super platform,Super,IT - Software,www.squirrelsuper.com.au,https://www.squirrelsuper.com.au/
SRA Information Technology,Business software solutions and environmental data management systems,Environmental,IT - Software,https://www.sra.com.au/about-sra,https://www.sra.com.au/about-sra
SSS Australia,Healthcare supplies provider,"GPs, specialists, aged care, hospitals",Healthcare,,https://www.sssaustralia.com.au/
Star Car Wash,Car wash business,Car wash,Services - other,https://www.starcarwash.com.au/,https://www.starcarwash.com.au/
StarRez,Student housing software,Education,IT - Software,https://www.starrez.com/,https://www.starrez.com/
Status Anxiety Pty Ltd,Fashion accessory wholesaler and retailer,Fashion,Wholesale trade,,https://www.statusanxiety.com.au/
St David Dairy,Dairy processing and distribution,Dairy,Manufacturing,http://stdavid.com.au/,https://www.stdavid.com.au/
Stealth Global,"Global logistic and supply business, specialising in Safety, Healthcare, Industrial & Workplace Supplies and services",,Transport,,https://www.stealthgi.com/investors/managementteam/
Stems Solutions,Safety software,Safety,IT - Software,http://www.stems.com.au/about-us/,https://www.stems.com.au/about-us/
Stems,Web-based software development for risk and management,Corporate risk,IT - Software,http://www.stems.com.au/about-us/,https://www.stems.com.au/about-us/
Stevco Seals and Pumps,Pumping solutions provider,Pumps,Manufacturing,http://www.stevco.com.au/,https://www.stevco.com.au/
Stickman,Customised cyber security services provider,Cyber risk,"Services - professional, scientific, and technical",https://www.stickman.com.au/about-us/,https://www.stickman.com.au/about-us/
Stilmark Telecommunications,Mobile phone transmission towers,Mobile phone towers,Telecommunications,www.stilmarkgroup.com,https://www.stilmarkgroup.com/
Stocklick Trading,Manufacturer of supplements to livestock industry,Agriculture,Manufacturing,https://www.stocklicktrading.com.au/about/,https://www.stocklicktrading.com.au/about/
Student Educational Adventures,Education (K-12) travel services,Education,Education,http://www.studenteducationaladventures.com/about/,https://www.studenteducationaladventures.com/
Studiosity,Online one-to-one tutoring service,Tuition services,Education,https://www.studiosity.com/,https://www.studiosity.com/
Dog food products business,Dog food products business,tbc,Manufacturing,tbc,https://www.stuff.co.nz/business/96097824/ebos-comes-in-with-another-record-as-it-digests-new-businesses
Fulcrum,Big data analytics,Business analytics,IT - Software,,https://www.stuff.co.nz/business/world/107421338/australian-business-elite-hit-by-collapse-of-nz-tech-startup-fulcrum
MCR,Outsourced IT services provider,Outsourced IT services,Services - administrative and support,,https://www.stuff.co.nz/entertainment/music/117194311/my-chemical-romance-announces-new-zealand-show
Tomcar Australia,Off road vehicle manufacturing,Automotive,Manufacturing,,https://www.stuff.co.nz/motoring/news/93710432/tomcar-australias-last-remaining-car-maker
Phil King Swimming,Swim school operator and owner,Swim schools,"Arts, entertainment and recreation",,https://www.stuff.co.nz/sport/other-sports/114563834/a-drug-cheater-swimmers-show-no-sympathy-for-australian-shayna-jack
ePractice,Medical practice management software,Medical,IT - Software,,https://www.sullcrom.com/australianew-zealand
Sun Data,Corporate IT solutions and products,Corporate,IT - Software,www.sundata.com.au,https://www.sundata.com.au/
Super Notions,Superannuation administration and management services,Finance and insurance,Finance and insurance,http://www.super-notions.com.au/contact.html,https://www.super-notions.com.au/contact
Super Treat,Aerated wastewater treatment system products and services,Water management,"Services - professional, scientific, and technical",http://www.supertreat.com.au/,https://www.supertreat.com.au/
SureWay Employment,Employment and training services,HR services,Services - other,http://www.sureway.com.au,https://www.sureway.com.au/
Surveillance Technology,Surveillance technology,Surveillance technology,IT - Software,,https://www.surveillancetechnologies.co.nz/
Service Vehicles Australia,High spec mining services vehicles,Mining equipment,Manufacturing,www.svaust.com,https://www.svaust.com/
SwarmFarm,Manufacturer of agricultural robotics,Agriculture,Manufacturing,,https://www.swarmfarm.com/
Paul Sadler Swimland,Swim school operator,K-12,Education,http://paulsadlerswimland.com.au/about-us/,https://www.swimland.ca/
The Swot Shop,Primary and high school tuition,Primary and secondary education,Education,http://www.swotshop.com.au/,https://www.swotshop.com.au/
Sydney Animal Hospitals,Veterinary hospitals,Veterinary,Healthcare,http://www.sydneyanimalhospitals.com.au/,https://www.sydneyanimalhospitals.com.au/
Symbio Laboratories,"food, agricultural and environmental testing services industry",Testing services,"Services - professional, scientific, and technical",https://www.symbiolabs.com.au/,https://www.symbiolabs.com.au/
Food Laboratories Australia,specialty food testing services industry,Testing services,"Services - professional, scientific, and technical",http://www.foodlabs.com.au/aboutus/,https://www.symbiolabs.com.au/
Synengco,Fully-integrated monitoring and analysis software solutions,"Manufacturing, power generation, knowledge intensive",IT - Software,http://synengco.com/,https://www.synengco.com/
Synergetic,Student management software,Education software,IT - Software,http://synergetic.net.au/,https://www.synergetic.net.au/
Taipan,Hydralics manufacturer and services provider,Hydraulics,Wholesale trade,https://www.taipan.com.au/about/,https://www.taipan.com.au/about/
Talent 100,High school tuition,Secondary education,Education,http://www.talent-100.com.au/,https://www.talent-100.com.au/
Tasman Logistics Services,3PL logistics provider,3PL,Transport,http://taslog.com.au/,https://www.taslog.com.au/
Taxi Box,Mobile self storage units,Property,Services - other,,https://www.taxibox.com.au/
The Tax Institute,TEQSA (Tax),Tax,Education,http://www.taxinstitute.com.au/,https://www.taxinstitute.com.au/
Taylors Institute Of Advanced Studies,"University entry preparation courses, high school, diplomas and english language",Secondary education,Education,,https://www.taylorscollege.edu.au/
Team Kids,Holiday program provider,K-12,Education,https://www.teamholiday.com.au,https://www.teamholiday.com.au/
TEK-Ocean Energy Services,Oil & gas services,Oil & gas,"Services - professional, scientific, and technical",https://www.tek-ocean.com.au/,https://www.tek-ocean.com.au/
Trade Import Services,Corporate and government workwear retailing,Workwear,Retail trade,http://www.tradeimportservices.com.au/,https://www.tenders.vic.gov.au/tenders/contract/view.do?id=14905&returnUrl=%252Fcontract%252Flist.do%253FshowSearch%253Dfalse%2526amp%253Baction%253Dcontract-search-submit%2526amp%253BissuingBusinessId%253D39%2526amp%253BissuingBusinessIdForSort%253D39%2526amp%253BawardDateFromString%253D03%252F04%252F2011
TendersOnline,Online tender platform,Tenders,IT - Software,www.tendersonline.com.au,https://www.tendersonline.com.au/buloke
Tex Onsite,specialty testing services industry,Testing services,"Services - professional, scientific, and technical",http://www.texonsite.com.au/,https://www.texonsite.com.au/
Apparel Distributor 1,National wholesale apparel distributor,Apparel,Wholesale trade,,https://www.textileinfomedia.com/business/new-zealand/apparel-and-garments
The Bay Retreats,Rehabilitation facility,Rehabilitation,Healthcare,http://www.thebayretreats.com/about/who-we-are,https://www.thebayretreats.com/about/who-we-are
The Coffee Emporium,Coffee franchsiing business,QSR,Retail trade,,https://www.thecoffeeemporium.com.au/
The Jolly Miller,Cafe and food wholesaling,Cafe,Retail trade,https://www.thejollymiller.com.au/,https://www.thejollymiller.com.au/
The Spectrum Group,Commercial landscaping rollup,Landscaping,Services - other,www.thespectrumgroup.com.au,https://www.thespectrumgroup.com.au/
The Therapy Store,An education and therapy resources store for children and young adults of all abilities,Distribution,Healthcare,http://www.thetherapystore.com.au/about-us/,https://www.thetherapystore.com.au/about-us/
ThinkMarkets,"FX, metals and CFD trading platform and services",Trading platform and services,Finance and insurance,http://www.thinkmarkets.com/au,https://www.thinkmarkets.com/au/
